round,player1_stack,opponent_stack,winner,actions
905,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
906,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
907,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
908,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
909,1020,980,Player1,0 call:20;0 call:0
910,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
911,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
912,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
913,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
914,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
915,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
916,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
917,1020,980,Player1,0 call:20;0 call:0
918,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
919,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
920,1020,980,Player1,0 call:20
921,1020,980,Player1,0 call:20
922,1020,980,Player1,0 call:20;0 call:0
923,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
924,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
925,1020,980,Player1,0 call:20;0 call:0
926,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
927,1020,980,Player1,0 call:20;0 call:0;0 call:0
928,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
929,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
930,1020,980,Player1,0 call:20;0 call:0
931,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
932,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
933,1020,980,Player1,0 call:20;0 call:0
934,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
935,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
936,1020,980,Player1,0 call:20;0 call:0
937,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
938,1020,980,Player1,0 call:20
939,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
940,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
941,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
942,1010,990,Player1,no_actions
943,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
944,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
945,1020,980,Player1,0 call:20;0 call:0
946,1020,980,Player1,0 call:20;0 call:0
947,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
948,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
949,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
950,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
951,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
952,1020,980,Player1,0 call:20;0 call:0;0 call:0
953,1020,980,Player1,0 call:20;0 call:0
954,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
955,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
956,1010,990,Player1,no_actions
957,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
958,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
959,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
960,1020,980,Player1,0 call:20;0 call:0
961,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
962,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
963,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
964,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
965,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
966,1020,980,Player1,0 call:20;0 call:0;0 call:0
967,1020,980,Player1,0 call:20;0 call:0;0 call:0
968,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
969,1010,990,Player1,no_actions
970,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
971,1020,980,Player1,0 call:20;0 call:0
972,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
973,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
974,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
975,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
976,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
977,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
978,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
979,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
980,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
981,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
982,1020,980,Player1,0 call:20
983,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
984,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
985,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
986,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
987,1020,980,Player1,0 call:20;0 call:0;0 call:0
988,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
989,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
990,1020,980,Player1,0 call:20;0 call:0;0 call:0
991,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
992,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
993,1020,980,Player1,0 call:20;0 call:0
994,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
995,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
996,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
997,1020,980,Player1,0 call:20;0 call:0;0 call:0;0 call:0
998,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
999,1010,990,Player1,no_actions
1000,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
