round,player1_stack,opponent_stack,winner,actions
172,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
173,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
174,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
175,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
176,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
177,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
178,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
179,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
180,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
181,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
182,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
183,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
184,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
185,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
186,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
187,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
188,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
189,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
190,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
191,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
192,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
193,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
194,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
195,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
196,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
197,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
198,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
199,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
200,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
201,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
202,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
