round,player1_stack,opponent_stack,winner,actions
121,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
122,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
123,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
124,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
125,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
126,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
127,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
128,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
129,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
130,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
131,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
132,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
133,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
134,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
135,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
136,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
137,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
138,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
139,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
140,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
141,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
142,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
143,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
144,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
145,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
146,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
147,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
148,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
149,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
150,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
151,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
152,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
153,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
154,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
155,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
156,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
157,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
158,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
159,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
160,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
161,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
162,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
163,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
164,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
165,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
166,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
167,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
168,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
169,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
170,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
171,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
172,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
173,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
174,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
175,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
176,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
177,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
178,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
179,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
180,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
181,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
182,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
183,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
184,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
185,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
186,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
187,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
188,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
189,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
190,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
191,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
192,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
193,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
194,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
195,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
196,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
197,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
198,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
199,940,1060,Opponent,0 call:20;0 call:0;0 call:20;0 call:20
200,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
201,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
202,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
203,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
204,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
205,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
206,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
207,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
208,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
209,1030,970,Player1,0 call:30;0 call:0;0 call:0;0 call:0
210,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
211,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
212,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
213,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
214,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
215,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
216,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
217,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
218,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
219,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
220,980,1020,Opponent,0 call:20;0 call:0;0 call:0;0 call:0
221,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
222,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
223,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
224,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
225,960,1040,Opponent,0 call:20;0 call:20;0 call:0;0 call:0
226,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
227,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
228,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
229,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
230,970,1030,Opponent,0 call:30;0 call:0;0 call:0;0 call:0
231,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
232,1050,950,Player1,0 call:30;0 call:20;0 call:0;0 call:0
233,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
234,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
235,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
236,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
237,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
238,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
239,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
240,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
241,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
242,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
243,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
244,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
245,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
246,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
247,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
248,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
249,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
250,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
251,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
252,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
253,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
254,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
255,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
256,1050,950,Player1,0 call:30;0 call:0;0 call:20;0 call:0
257,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
258,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
259,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
260,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
261,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
262,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
263,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
264,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
265,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
266,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
267,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
268,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
269,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
270,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
271,1060,940,Player1,0 call:20;0 call:20;0 call:20;0 call:0
272,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
273,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
274,950,1050,Opponent,0 call:30;0 call:0;0 call:0;0 call:20
275,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
276,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
277,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
278,950,1050,Opponent,0 call:30;0 call:20;0 call:0;0 call:0
279,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
280,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
281,930,1070,Opponent,0 call:30;0 call:20;0 call:20;0 call:0
282,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
283,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
284,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
285,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
286,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
287,1040,960,Player1,0 call:20;0 call:0;0 call:0;0 call:20
288,950,1050,Opponent,0 call:30;0 call:0;0 call:20;0 call:0
289,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
290,930,1070,Opponent,0 call:30;0 call:20;0 call:0;0 call:20
291,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
292,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
293,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
294,940,1060,Opponent,0 call:20;0 call:20;0 call:0;0 call:20
295,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
296,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
297,1090,910,Player1,0 call:30;0 call:20;0 call:20;0 call:20
298,1050,950,Player1,0 call:30;0 call:0;0 call:0;0 call:20
299,1060,940,Player1,0 call:20;0 call:20;0 call:0;0 call:20
300,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
301,1040,960,Player1,0 call:20;0 call:0;0 call:20;0 call:0
302,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
303,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
304,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
305,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
306,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
307,930,1070,Opponent,0 call:30;0 call:0;0 call:20;0 call:20
308,960,1040,Opponent,0 call:20;0 call:0;0 call:0;0 call:20
309,1060,940,Player1,0 call:20;0 call:0;0 call:20;0 call:20
310,920,1080,Opponent,0 call:20;0 call:20;0 call:20;0 call:20
311,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
312,1070,930,Player1,0 call:30;0 call:20;0 call:0;0 call:20
313,960,1040,Opponent,0 call:20;0 call:0;0 call:20;0 call:0
314,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
315,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
316,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
317,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
318,1070,930,Player1,0 call:30;0 call:20;0 call:20;0 call:0
319,1070,930,Player1,0 call:30;0 call:0;0 call:20;0 call:20
320,1040,960,Player1,0 call:20;0 call:20;0 call:0;0 call:0
321,940,1060,Opponent,0 call:20;0 call:20;0 call:20;0 call:0
322,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
323,1080,920,Player1,0 call:20;0 call:20;0 call:20;0 call:20
324,910,1090,Opponent,0 call:30;0 call:20;0 call:20;0 call:20
